method,vol_bin,n,dsc_mean,dsc_median
ours,<2ml,11,0.5269660364881749,0.7539682544564122
ours,2-5ml,22,0.4984410887080426,0.5612493002424221
ours,5-10ml,26,0.6201594714964449,0.6816049383763196
ours,10-20ml,17,0.8252467632295446,0.8302335962163021
ours,20-50ml,23,0.8416183697800647,0.8856083086138273
ours,>50ml,3,0.8735013009067223,0.8842284071643726
nnunet,<2ml,11,0.2773402266346937,0.2246352225230284
nnunet,2-5ml,20,0.6186394584252668,0.6847126102235166
nnunet,5-10ml,19,0.6359562151729822,0.6417041105605418
nnunet,10-20ml,21,0.8026709442319128,0.8517511594671756
nnunet,20-50ml,23,0.8619937944579378,0.8820817280438273
nnunet,>50ml,8,0.84395236292541,0.8575107403649953
