reference_gtvp_volume_bin,method,n,dsc_mean,dsc_median
absent (0 ml),nnU-Net v2,4,0.0,0.0
absent (0 ml),MiniUNet3D,4,0.75,1.0
<2ml,nnU-Net v2,7,0.4533,0.4495
<2ml,MiniUNet3D,7,0.3995,0.3909
2-5ml,nnU-Net v2,21,0.6197,0.6637
2-5ml,MiniUNet3D,21,0.5016,0.6402
5-10ml,nnU-Net v2,27,0.6736,0.7654
5-10ml,MiniUNet3D,27,0.6132,0.6543
10-20ml,nnU-Net v2,17,0.8368,0.8724
10-20ml,MiniUNet3D,17,0.8252,0.8302
20-50ml,nnU-Net v2,23,0.8609,0.8859
20-50ml,MiniUNet3D,23,0.8416,0.8856
>50ml,nnU-Net v2,3,0.8466,0.838
>50ml,MiniUNet3D,3,0.8735,0.8842
